pipeline,question,company,year,answer_type,expected_section,gold_answer,generated_answer,response_time_sec,retry_used,avg_similarity,top_similarity,retrieved_chunks,retrieved_sections,section_accuracy,citations_present,citation_count,years_coverage_ok,numeric_present,overall_valid,error
baseline,Compare Apple's net revenue between 2023 and 2024,AAPL,,comparative,Financial Statements,Apple's net revenue grew from approximately $383 billion in 2023 to $391 billion in 2024 representing modest growth of around 2%.,,0.83,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99776, Requested 1255. Please try again in 14m50.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Apple's net revenue between 2023 and 2024,AAPL,,comparative,Financial Statements,Apple's net revenue grew from approximately $383 billion in 2023 to $391 billion in 2024 representing modest growth of around 2%.,,36.98,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99734, Requested 1426. Please try again in 16m42.239999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Tesla's total revenue between 2023 and 2024,TSLA,,comparative,Financial Statements,Tesla's total revenues grew from approximately $97.7 billion in 2023 to a similar level in 2024 with growth slowing significantly compared to prior years.,,0.88,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99733, Requested 1079. Please try again in 11m41.568s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Tesla's total revenue between 2023 and 2024,TSLA,,comparative,Financial Statements,Tesla's total revenues grew from approximately $97.7 billion in 2023 to a similar level in 2024 with growth slowing significantly compared to prior years.,,16.73,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99713, Requested 785. Please try again in 7m10.272s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Microsoft's operating income between 2023 and 2024,MSFT,,comparative,Financial Statements,Microsoft's operating income increased from approximately $88 billion in fiscal 2023 to $109 billion in fiscal 2024.,,0.78,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99712, Requested 1621. Please try again in 19m11.712s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Microsoft's operating income between 2023 and 2024,MSFT,,comparative,Financial Statements,Microsoft's operating income increased from approximately $88 billion in fiscal 2023 to $109 billion in fiscal 2024.,,40.81,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99665, Requested 2227. Please try again in 27m14.687999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Apple's risk factors between 2023 and 2024,AAPL,,comparative,Risk Factors,"In both years Apple cited competition, supply chain concentration, and regulatory risks. In 2024 Apple placed greater emphasis on AI-related regulatory risks compared to 2023.",,0.66,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99664, Requested 895. Please try again in 8m2.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Apple's risk factors between 2023 and 2024,AAPL,,comparative,Risk Factors,"In both years Apple cited competition, supply chain concentration, and regulatory risks. In 2024 Apple placed greater emphasis on AI-related regulatory risks compared to 2023.",,27.58,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99632, Requested 1059. Please try again in 9m57.024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Amazon's revenue between 2023 and 2024,AMZN,,comparative,Financial Statements,Amazon's net sales grew from approximately $575 billion in 2023 to $638 billion in 2024.,,0.68,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99632, Requested 1461. Please try again in 15m44.352s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Amazon's revenue between 2023 and 2024,AMZN,,comparative,Financial Statements,Amazon's net sales grew from approximately $575 billion in 2023 to $638 billion in 2024.,,17.07,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99612, Requested 1094. Please try again in 10m9.984s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Google's advertising revenue between 2023 and 2024,GOOGL,,comparative,Financial Statements,Alphabet's Google advertising revenues grew from approximately $238 billion in 2023 to over $265 billion in 2024.,,0.85,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99611, Requested 970. Please try again in 8m21.984s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Google's advertising revenue between 2023 and 2024,GOOGL,,comparative,Financial Statements,Alphabet's Google advertising revenues grew from approximately $238 billion in 2023 to over $265 billion in 2024.,,19.33,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99588, Requested 702. Please try again in 4m10.559999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Tesla's risk disclosures between 2023 and 2024,TSLA,,comparative,Risk Factors,Tesla's 2024 filing expanded risk disclosures around EV competition from legacy automakers and Chinese manufacturers compared to the 2023 filing which focused more on supply chain.,,0.65,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99588, Requested 834. Please try again in 6m4.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Tesla's risk disclosures between 2023 and 2024,TSLA,,comparative,Risk Factors,Tesla's 2024 filing expanded risk disclosures around EV competition from legacy automakers and Chinese manufacturers compared to the 2023 filing which focused more on supply chain.,,12.97,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99573, Requested 607. Please try again in 2m35.519999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,Compare Microsoft's cloud revenue between 2023 and 2024,MSFT,,comparative,Financial Statements,Microsoft's Intelligent Cloud segment revenue grew from approximately $87 billion in fiscal 2023 to $106 billion in fiscal 2024 driven by Azure growth.,,0.67,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99572, Requested 959. Please try again in 7m38.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,Compare Microsoft's cloud revenue between 2023 and 2024,MSFT,,comparative,Financial Statements,Microsoft's Intelligent Cloud segment revenue grew from approximately $87 billion in fiscal 2023 to $106 billion in fiscal 2024 driven by Azure growth.,,44.48,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99520, Requested 2101. Please try again in 23m20.543999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What is Apple's business outlook for 2024?,AAPL,2024,descriptive,MD&A,Apple's MD&A for 2024 outlines continued investment in AI features services growth and geographic expansion as key near-term priorities.,,0.88,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99519, Requested 1225. Please try again in 10m42.816s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What is Apple's business outlook for 2024?,AAPL,2024,descriptive,MD&A,Apple's MD&A for 2024 outlines continued investment in AI features services growth and geographic expansion as key near-term priorities.,,19.48,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99497, Requested 851. Please try again in 5m0.672s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What does Tesla's MD&A say about future product plans?,TSLA,2024,descriptive,MD&A,Tesla's MD&A discusses plans for new lower-cost vehicle models and expansion of its energy storage and Supercharger businesses.,,0.85,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99496, Requested 1103. Please try again in 8m37.535999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What does Tesla's MD&A say about future product plans?,TSLA,2024,descriptive,MD&A,Tesla's MD&A discusses plans for new lower-cost vehicle models and expansion of its energy storage and Supercharger businesses.,,25.3,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99466, Requested 932. Please try again in 5m43.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What does Microsoft's management say about AI opportunity?,MSFT,2024,descriptive,MD&A,Microsoft's MD&A highlights Copilot integration across its product suite and Azure AI services as a major growth driver expecting continued investment in data center capacity.,,0.72,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99466, Requested 1378. Please try again in 12m9.216s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What does Microsoft's management say about AI opportunity?,MSFT,2024,descriptive,MD&A,Microsoft's MD&A highlights Copilot integration across its product suite and Azure AI services as a major growth driver expecting continued investment in data center capacity.,,21.13,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99441, Requested 915. Please try again in 5m7.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What does Amazon's management say about profitability in 2024?,AMZN,2024,descriptive,MD&A,Amazon's MD&A describes improved profitability driven by AWS margin expansion and improved operating leverage in its North America segment.,,0.85,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99440, Requested 1432. Please try again in 12m33.408s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What does Amazon's management say about profitability in 2024?,AMZN,2024,descriptive,MD&A,Amazon's MD&A describes improved profitability driven by AWS margin expansion and improved operating leverage in its North America segment.,,20.56,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99416, Requested 1506. Please try again in 13m16.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What cybersecurity disclosures did Apple make in 2024?,AAPL,2024,risk,Risk Factors,Apple disclosed risks from potential security breaches of its services and customer data and described its cybersecurity governance framework.,,1.03,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99415, Requested 816. Please try again in 3m19.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What cybersecurity disclosures did Apple make in 2024?,AAPL,2024,risk,Risk Factors,Apple disclosed risks from potential security breaches of its services and customer data and described its cybersecurity governance framework.,,12.85,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99400, Requested 747. Please try again in 2m7.008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What does Google disclose about regulatory risk in 2024?,GOOGL,2024,risk,Risk Factors,Alphabet cited ongoing DOJ antitrust litigation targeting its search distribution agreements and potential regulatory changes in the EU as significant regulatory risks in 2024.,"Insufficient evidence in the provided documents. 

The provided section of the 10-K filing for GOOGL (Source 1) does not mention regulatory risk. It discusses the importance of employees to the company's success and plans for hiring and compensation, but does not address regulatory risk.",1.14,False,62.67,62.67,1,Risk Factors,True,True,1,True,True,,
agentic,What does Google disclose about regulatory risk in 2024?,GOOGL,2024,risk,Risk Factors,Alphabet cited ongoing DOJ antitrust litigation targeting its search distribution agreements and potential regulatory changes in the EU as significant regulatory risks in 2024.,,1.02,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99748, Requested 340. Please try again in 1m16.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What does Tesla disclose about its energy storage business?,TSLA,2024,descriptive,Business,Tesla describes its energy storage business including Megapack and Powerwall products as a growing revenue stream separate from its automotive segment.,,0.68,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99748, Requested 869. Please try again in 8m53.087999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What does Tesla disclose about its energy storage business?,TSLA,2024,descriptive,Business,Tesla describes its energy storage business including Megapack and Powerwall products as a growing revenue stream separate from its automotive segment.,,22.14,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99722, Requested 968. Please try again in 9m56.16s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
